Title,Year of Release,Rating,Number of Reviews,Popularity Index,Movie Cast,Director,Description
Raging Bull,1980,8.2,349K,"2,210","['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent', 'Nicholas Colasanto', 'Theresa Saldana', 'Mario Gallo', 'Frank Adonis', 'Joseph Bono', 'Frank Topham', 'Lori Anne Flax', 'Charles Scorsese', 'Don Dunphy', 'Bill Hanrahan', 'Rita Bennett', 'James V. Christy', 'Bernie Allen', 'Floyd Anderson']",Martin Scorsese,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Gone with the Wind,1939,8.2,312K,908,"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil"", 'Evelyn Keyes', 'Ann Rutherford', 'George Reeves', 'Fred Crane', 'Hattie McDaniel', 'Oscar Polk', 'Butterfly McQueen', 'Victor Jory', 'Everett Brown', 'Howard Hickman', 'Alicia Rhett', 'Leslie Howard', 'Olivia de Havilland', 'Rand Brooks']",Victor Fleming,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.
V for Vendetta,2006,8.2,1.1M,"2,350","['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea', 'Stephen Fry', 'John Hurt', 'Tim Pigott-Smith', 'Roger Allam', 'Ben Miles', 'Sinéad Cusack', 'Natasha Wightman', 'John Standing', 'Eddie Marsan', 'Clive Ashborn', 'Emma Field-Rayner', 'Ian Burfield', 'Mark Phoenix', 'Alister Mazzotti']",James McTeigue,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
The Thing,1982,8.2,414K,898,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur', 'T.K. Carter', 'David Clennon', 'Richard Dysart', 'Charles Hallahan', 'Peter Maloney', 'Donald Moffat', 'Joel Polis', 'Thomas G. Waites', 'Norbert Weisser', 'Larry Franco', 'Nate Irwin', 'William Zeman', 'Adrienne Barbeau', 'John Carpenter']",John Carpenter,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Inside Out,2015,8.2,696K,615,"['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Phyllis Smith', 'Richard Kind', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan', 'Paula Poundstone', 'Bobby Moynihan', 'Paula Pell', 'Dave Goelz', 'Frank Oz', 'Josh Cooley', 'Flea', 'John Ratzenberger', 'Carlos Alazraqui']",Pete Docter,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
"Lock, Stock and Two Smoking Barrels",1998,8.2,574K,517,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham', 'Steven Mackintosh', 'Nicholas Rowe', 'Nick Marcq', 'Charles Forbes', 'Vinnie Jones', 'Lenny McLean', 'Peter McNicholl', 'P.H. Moriarty', 'Frank Harper', 'Steve Sweeney', 'Huggy Leaver', 'Ronnie Fox', 'Tony McMahon', 'Stephen Marcus']",Guy Ritchie,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
Dial M for Murder,1954,8.2,174K,"1,821","['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams', 'Anthony Dawson', 'Leo Britt', 'Patrick Allen', 'George Leigh', 'George Alderson', 'Robin Hughes', 'Richard Bender', 'Robin Sanders Clark', 'Jack Cunningham', 'Robert Dobson', 'Guy Doleman', 'Bess Flowers', 'Robert Garvin', 'Herschel Graham']",Alfred Hitchcock,A former tennis star arranges the murder of his adulterous wife.
The Secret in Their Eyes,2009,8.2,208K,803,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago', 'Carla Quevedo', 'Javier Godino', 'Bárbara Palladino', 'Rudy Romano', 'Alejandro Abelenda', 'Mario Alarcón', 'Guillermo Francella', 'Sebastián Blanco', 'Mariano Argento', 'José Luis Gioia', 'Juan José Ortíz', 'Kiko Cerone', 'Fernando Pardo', 'Maximiliano Trento', 'Sergio López Santana']",Juan José Campanella,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
Howl's Moving Castle,2004,8.2,384K,294,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa', 'Ryûnosuke Kamiki', 'Mitsunori Isaki', 'Yô Ôizumi', 'Akio Ôtsuka', 'Daijirô Harada', 'Haruko Katô', 'Jean Simmons', 'Christian Bale', 'Lauren Bacall', 'Blythe Danner', 'Emily Mortimer', 'Josh Hutcherson', 'Billy Crystal', 'Jena Malone']",Hayao Miyazaki,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
The Bridge on the River Kwai,1957,8.2,219K,"2,274","['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa', 'James Donald', 'Geoffrey Horne', 'André Morell', 'Peter Williams', 'John Boxer', 'Percy Herbert', 'Harold Goodwin', 'Ann Sears', 'Heihachirô Ôkawa', 'Keiichirô Katsumoto', 'M.R.B. Chakrabandhu', 'Vilaiwan Seeboonreaung', 'Ngamta Suphaphongs', 'Javanart Punynchoti']",David Lean,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
"Three Billboards Outside Ebbing, Missouri",2017,8.1,495K,"1,339","['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones', 'Kerry Condon', 'Alejandro Barrios', 'Jason Ledford', 'Darrell Britt-Gibson', 'Abbie Cornish', 'Riya May Atwood', 'Selah Atwood', 'Lucas Hedges', 'Zeljko Ivanek', 'Amanda Warren', 'Malaya Rivera Drew', 'Sandy Martin', 'Peter Dinklage', 'Christopher Berry']",Martin McDonagh,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Trainspotting,1996,8.1,678K,202,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd', 'Robert Carlyle', 'Kelly Macdonald', 'Peter Mullan', 'James Cosmo', 'Eileen Nicholas', 'Susan Vidler', 'Pauline Lynch', 'Shirley Henderson', 'Stuart McQuarrie', 'Irvine Welsh', 'Dale Winton', 'Keith Allen', 'Kevin Allen', 'Annie Louise Ross']",Danny Boyle,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Warrior,2011,8.2,466K,272,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison', 'Frank Grillo', 'Kevin Dunn', 'Maximiliano Hernández', 'Bryan Callen', 'Sam Sheridan', 'Fernando Chien', 'Jake McLaughlin', 'Vanessa Martinez', 'Denzel Whitaker', 'Carlos Miranda', 'Nick Lehane', 'Laura Chinn', 'Capri Thomas', 'Lexi Cowan']",Gavin O'Connor,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Gran Torino,2008,8.1,766K,"2,801","['Clint Eastwood', 'Bee Vang', 'Christopher Carley', 'Ahney Her', 'Brian Haley', 'Geraldine Hughes', 'Dreama Walker', 'Brian Howe', 'John Carroll Lynch', 'William Hill', 'Brooke Chia Thao', 'Chee Thao', 'Choua Kue', 'Scott Eastwood', 'Xia Soua Chang', 'Sonny Vue', 'Doua Moua', 'Greg Trzaskoma']",Clint Eastwood,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
Fargo,1996,8.1,668K,"4,376","['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare', 'Kristin Rudrüd', 'Harve Presnell', 'Tony Denman', 'Gary Houston', 'Sally Wingert', 'Kurt Schweickhardt', 'Larissa Kokernot', 'Melissa Peterman', 'Steve Reevis', 'Warren Keith', 'Steve Edelman', 'Sharon Anderson', 'Larry Brandenburg', 'James Gaulke']",Joel Coen,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Prisoners,2013,8.1,689K,"2,159","['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo', 'Maria Bello', 'Terrence Howard', 'Paul Dano', 'Dylan Minnette', 'Zoë Soul', 'Erin Gerasimovich', 'Kyla-Drew', 'Wayne Duvall', 'Len Cariou', 'David Dastmalchian', 'Brad James', 'Anthony Reynolds', 'Robert C. Treveiler', 'Sandra Ellis Lafferty']",Denis Villeneuve,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
My Neighbor Totoro,1988,8.1,331K,"1,051","['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi', 'Sumi Shimamoto', 'Tanie Kitabayashi', 'Yûko Maruyama', 'Machiko Washio', 'Reiko Suzuki', 'Masashi Hirose', 'Toshiyuki Amagasa', 'Shigeru Chiba', 'Naoki Tatsuta', 'Tarako', 'Tomohiro Nishimura', 'Mitsuko Ishida', 'Chie Kôjiro', 'Daiki Nakamura']",Hayao Miyazaki,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Million Dollar Baby,2004,8.1,679K,860,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel', 'Mike Colter', 'Lucia Rijker', ""Brían F. O'Byrne"", 'Anthony Mackie', 'Margo Martindale', 'Riki Lindhome', 'Michael Peña', 'Benito Martinez', 'Bruce MacVittie', 'David Powledge', ""Joe D'Angerio"", 'Marcus Chait', 'Tom McCleister', 'Erica Grant']",Clint Eastwood,A determined woman works with a hardened boxing trainer to become a professional.
Catch Me If You Can,2002,8.1,951K,620,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye', 'Amy Adams', 'James Brolin', 'Brian Howe', 'Frank John Hughes', 'Steve Eastin', 'Chris Ellis', 'John Finn', 'Jennifer Garner', 'Nancy Lenehan', 'Ellen Pompeo', 'Elizabeth Banks', 'Guy Thauvette', 'Candice Azzara']",Steven Spielberg,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
Blade Runner,1982,8.1,755K,"1,000","['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos', 'M. Emmet Walsh', 'Daryl Hannah', 'William Sanderson', 'Brion James', 'Joe Turkel', 'Joanna Cassidy', 'James Hong', 'Morgan Paull', 'Kevin Thompson', 'John Edward Allen', 'Hy Pyke', 'Kimiko Hiroshige', 'Bob Okazaki', 'Carolyn DeMirjian']",Ridley Scott,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
On the Waterfront,1954,8.1,154K,"3,069","['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger', 'Pat Henning', 'Leif Erickson', 'James Westerfield', 'Tony Galento', 'Tami Mauriello', 'John F. Hamilton', 'John Heldabrand', 'Rudy Bond', 'Don Blackman', 'Arthur Keegan', 'Abe Simon', 'Eva Marie Saint', 'Martin Balsam', 'Dan Bergin']",Elia Kazan,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
The Third Man,1949,8.1,170K,261,"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard', 'Paul Hörbiger', 'Ernst Deutsch', 'Erich Ponto', 'Siegfried Breuer', 'Hedwig Bleibtreu', 'Bernard Lee', 'Wilfrid Hyde-White', 'Nelly Arno', 'Jack Arrow', 'Harold Ayer', 'Harry Belcher', 'Leo Bieber', 'Paul Birch', 'Martin Boddey']",Carol Reed,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
Ben-Hur,1959,8.1,237K,837,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet', 'Hugh Griffith', 'Martha Scott', ""Cathy O'Donnell"", 'Sam Jaffe', 'Finlay Currie', 'Frank Thring', 'Terence Longdon', 'George Relph', 'André Morell', 'Nello Appodia', 'Fortunato Arena', 'Bruno Ariè', 'Les Ballets Africains', 'Emma Baron']",William Wyler,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
12 Years a Slave,2013,8.1,691K,356,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt', 'Dwight Henry', 'Dickie Gravois', 'Bryan Batt', 'Ashley Dyke', 'Kelsey Scott', 'Quvenzhané Wallis', 'Cameron Zeigler', 'Tony Bentley', 'Scoot McNairy', 'Taran Killam', 'Christopher Berry', 'Bill Camp', 'Mister Mackey Jr.', 'Chris Chalk']",Steve McQueen,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Before Sunrise,1995,8.1,302K,936,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl', 'Karl Bruckschwaiger', 'Tex Rubinowitz', 'Erni Mangold', 'Dominik Castell', 'Haymon Maria Buttinger', 'Harald Waiglein', 'Bilge Jeschim', 'Kurti', 'Hans Weingartner', 'Liese Lyon', 'Peter Ily Huemer', 'Otto Reiter', 'Hubert Fabian Kulterer', 'Branko Andric']",Richard Linklater,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Gone Girl,2014,8.1,960K,"2,676","['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry', 'Carrie Coon', 'Kim Dickens', 'Patrick Fugit', 'David Clennon', 'Lisa Banes', 'Missi Pyle', 'Emily Ratajkowski', 'Casey Wilson', 'Lola Kirke', 'Boyd Holbrook', 'Sela Ward', 'Lee Norris', 'Jamie McShane', 'Leonard Kelly-Young']",David Fincher,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,855K,422,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon', 'Ralph Fiennes', 'Alan Rickman', 'Evanna Lynch', 'Domhnall Gleeson', 'Clémence Poésy', 'Warwick Davis', 'John Hurt', 'Helena Bonham Carter', 'Graham Duff', 'Anthony Allgood', 'Rusty Goffe', 'Jon Key', 'Kelly Macdonald', 'Jason Isaacs']",David Yates,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
The Deer Hunter,1978,8.1,336K,250,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage', 'Meryl Streep', 'George Dzundza', 'Chuck Aspegren', 'Shirley Stoler', 'Rutanya Alda', 'Pierre Segui', 'Mady Kaplan', 'Amy Wright', 'Mary Ann Haenel', 'Richard Kuss', 'Joe Grifasi', 'Christopher Colombi Jr.', 'Victoria Karnafel', 'Jack Scardino']",Michael Cimino,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
In the Name of the Father,1993,8.1,173K,"1,368","['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King', 'Emma Thompson', 'Nye Heron', 'Anthony Brophy', 'Frankie McCafferty', 'Paul Warriner', 'Julian Walsh', 'Stuart Wolfenden', 'Jo Connor', 'Karen Carlisle', 'Seamus Moran', 'Billy Byrne', 'Maureen McBride', 'Jane Nolan', 'Laurence Griffin']",Jim Sheridan,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
The Grand Budapest Hotel,2014,8.1,790K,813,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody', 'Willem Dafoe', 'Jeff Goldblum', 'Harvey Keitel', 'Jude Law', 'Bill Murray', 'Edward Norton', 'Saoirse Ronan', 'Jason Schwartzman', 'Léa Seydoux', 'Tilda Swinton', 'Tom Wilkinson', 'Owen Wilson', 'Tony Revolori', 'Larry Pine']",Wes Anderson,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Barry Lyndon,1975,8.1,165K,"4,171","[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger', 'Steven Berkoff', 'Gay Hamilton', 'Marie Kean', 'Diana Körner', 'Murray Melvin', 'Frank Middlemass', 'André Morell', ""Arthur O'Sullivan"", 'Godfrey Quigley', 'Leonard Rossiter', 'Philip Stone', 'Leon Vitali', 'John Bindon', 'Roger Booth']",Stanley Kubrick,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
Memories of Murder,2003,8.1,177K,"1,104","['Song Kang-ho', 'Kim Sang-kyung', 'Roe-ha Kim', 'Jae-ho Song', 'Byun Hee-Bong', 'Seo-hie Ko', 'Tae-ho Ryu', 'No-shik Park', 'Park Hae-il', 'Mi-seon Jeon', 'Young-hwa Seo', 'Woo Go-na', 'Ok-joo Lee', 'Jong-ryol Choi', 'Seung-mok Yoo', 'Hun-Kyung Lee', 'Hyeon-jong Sin', 'Jae-eung Lee']",Bong Joon Ho,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Klaus,2019,8.1,144K,454,"['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso', 'Neda Margrethe Labba', 'Sergio Pablos', 'Norm MacDonald', 'Joan Cusack', 'Evan Agos', 'Sky Alexis', 'Jaeden Bettencourt', 'Teddy Blum', 'Mila Brener', 'Sydney Brower', 'Finn Carr', 'Kendall Joy Hall', 'Hailey Hermida', 'Lexie Holland']",Sergio Pablos,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Hacksaw Ridge,2016,8.1,509K,401,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer', 'Richard Pyros', 'Jacob Warner', 'Milo Gibson', 'Darcy Bryce', 'Roman Guerriero', 'James Lugton', 'Kasia Stelmach', 'Hugo Weaving', 'Rachel Griffiths', 'Jarin Towney', 'Tim McGarry', 'Tyler Coppin', 'Richard Platt', 'Nathaniel Buzolic']",Mel Gibson,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
The Seventh Seal,1957,8.1,183K,349,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe', 'Bibi Andersson', 'Inga Gill', 'Maud Hansson', 'Inga Landgré', 'Gunnel Lindblom', 'Bertil Anderberg', 'Anders Ek', 'Åke Fridell', 'Gunnar Olsson', 'Erik Strandmark', 'Siv Aleros', 'Sten Ardenstam', 'Harry Asklund', 'Benkt-Åke Benktsson']",Ingmar Bergman,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Room,2015,8.1,413K,"1,222","['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers', 'Wendy Crewson', 'Sandy McMaster', 'Matt Gordon', 'Amanda Brugel', 'Joe Pingue', 'Joan Allen', 'Zarrin Darnell-Martin', 'Cas Anvar', 'William H. Macy', 'Jee-Yun Lee', 'Randal Edwards', 'Justin Mader', 'Ola Sturik', 'Rodrigo Fernandez-Stoll', ""Rory O'Shea""]",Lenny Abrahamson,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Wild Tales,2014,8.1,195K,728,"['Darío Grandinetti', 'María Marull', 'Mónica Villa', 'Diego Starosta', 'Marcelo Frasca', 'Lucila Mangone', 'María Laura Caccamo', 'Carlos Alberto Vavassori', 'Pablo Machado', 'Horacio Vay', 'Javier Pedersoli', 'Héctor Drachtman', 'María Rosa López Ottonello', 'Rita Cortese', 'Julieta Zylberberg', 'César Bordón', 'Juan Santiago Linari', 'Leonardo Sbaraglia']",Damián Szifron,Six short stories that explore the extremities of human behavior involving people in distress.
The Big Lebowski,1998,8.1,796K,"3,068","['Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi', 'David Huddleston', 'Philip Seymour Hoffman', 'Tara Reid', 'Philip Moon', 'Mark Pellegrino', 'Peter Stormare', 'Flea', 'Torsten Voges', 'Jimmie Dale Gilmore', 'Jack Kehler', 'John Turturro', 'James G. Hoosier', 'Carlos Leon', 'Terrence Burton']",Joel Coen,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
Mad Max: Fury Road,2015,8.1,978K,704,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz', 'Hugh Keays-Byrne', 'Josh Helman', 'Nathan Jones', 'Rosie Huntington-Whiteley', 'Riley Keough', 'Abbey Lee', 'Courtney Eaton', 'John Howard', 'Richard Carter', 'Iota', 'Angus Sampson', 'Jennifer Hagan', 'Megan Gale', 'Melissa Jaffer']",George Miller,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
How to Train Your Dragon,2010,8.1,726K,598,"['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'T.J. Miller', 'Kristen Wiig', 'Robin Atkin Downes', 'Philip McGrade', 'Kieron Elliott', 'Ashley Jensen', 'David Tennant']",Dean DeBlois,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
"Monsters, Inc.",2001,8.1,891K,591,"['Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi', 'James Coburn', 'Jennifer Tilly', 'Bob Peterson', 'John Ratzenberger', 'Frank Oz', 'Daniel Gerson', 'Steve Susskind', 'Bonnie Hunt', 'Jeff Pidgeon', 'Samuel Lord Black', 'Jack Angel', 'Bob Bergen', 'Rodger Bumpass', 'Gino Conforti']",Pete Docter,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
Jaws,1975,8.1,590K,"1,492","['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary', 'Murray Hamilton', 'Carl Gottlieb', 'Jeffrey Kramer', 'Susan Backlinie', 'Jonathan Filley', 'Ted Grossman', 'Chris Rebello', 'Jay Mello', 'Lee Fierro', 'Jeffrey Voorhees', 'Craig Kingsbury', 'Robert Nevin', 'Peter Benchley', 'Jonathan Searle']",Steven Spielberg,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
Dead Poets Society,1989,8.1,478K,"3,014","['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles', 'Gale Hansen', 'Dylan Kussman', 'Allelon Ruggiero', 'James Waterston', 'Norman Lloyd', 'Kurtwood Smith', 'Carla Belver', 'Leon Pownall', 'George Martin', 'Joe Aufiery', 'Matt Carey', 'Kevin Cooney', 'Jane Moore', 'Lara Flynn Boyle']",Peter Weir,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
Hotel Rwanda,2004,8.1,353K,830,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali', 'Desmond Dube', 'Hakeem Kae-Kazim', 'Tony Kgoroge', 'Rosie Motene', 'Neil McCarthy', ""Mabutho 'Kid' Sithole"", 'Nick Nolte', 'Fana Mokoena', 'Jeremiah Ndlovu', 'Lebo Mashile', 'Antonio David Lyons', 'Leleti Khumalo', 'Kgomotso Seitshohlo', 'Lerato Mokgotho']",Terry George,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Rocky,1976,8.1,565K,"2,772","['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith', 'Thayer David', 'Joe Spinell', 'Jimmy Gambina', 'Bill Baldwin', 'Al Silvani', 'George Memmoli', 'Jodi Letizia', 'Diana Lewis', ""George O'Hanlon"", 'Larry Carroll', 'Stan Shaw', 'Don Sherman', 'Billy Sands']",John G. Avildsen,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
Platoon,1986,8.1,409K,"2,128","['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe', 'Keith David', 'Forest Whitaker', 'Francesco Quinn', 'Kevin Dillon', 'John C. McGinley', 'Reggie Johnson', 'Mark Moses', 'Corey Glover', 'Johnny Depp', 'Chris Pedersen', 'Bob Orwig', 'Corkey Ford', 'David Neidorf', 'Richard Edson', 'Tony Todd']",Oliver Stone,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
Ford v Ferrari,2019,8.1,375K,"3,669","['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe', 'Josh Lucas', 'Noah Jupe', 'Tracy Letts', 'Remo Girone', 'Ray McKinnon', 'JJ Feild', 'Jack McMullen', 'Corrado Invernizzi', 'Joe Williamson', 'Ian Harding', 'Christopher Darga', 'Shawn Law', 'Emil Beheshti', 'Darrin Prescott']",James Mangold,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Stand by Me,1986,8.1,397K,143,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell"", 'Kiefer Sutherland', 'Casey Siemaszko', 'Gary Riley', 'Bradley Gregg', 'Jason Oliver Lipsett', 'Marshall Bell', 'Frances Lee McCain', 'Bruce Kirby', 'William Bronder', 'Scott Beach', 'Richard Dreyfuss', 'John Cusack', 'Madeleine Swift', 'Popeye']",Rob Reiner,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
The Terminator,1984,8.1,849K,"2,816","['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield', 'Lance Henriksen', 'Rick Rossovich', 'Bess Motta', 'Earl Boen', 'Dick Miller', 'Shawn Schepps', 'Bruce M. Kerner', 'Franco Columbu', 'Bill Paxton', 'Brad Rearden', 'Brian Thompson', 'William Wisher', 'Ken Fritz', 'Tom Oberhaus']",James Cameron,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
